,trial,start_time,rt,correct,fact_id,question,answer,flipped,alpha,activation,flip_alpha,flip_activation
,trial,start_time,rt,correct,fact_id,question,answer,flipped,alpha,activation,flip_alpha,flip_activation
0,1,25183.723499998454,3367.213800083846,True,2,I,mimi,False,0.3,-inf,0.3,-inf
1,2,31616.264400072403,3580.2229996770616,True,2,mimi,I,True,0.3,-0.5584108870504848,0.3,9.766260287910034
2,3,37115.35839969292,2281.577800400555,True,14,one,moja,False,0.3,-inf,0.3,-inf
3,4,42094.933199696236,1706.2572999857364,True,14,moja,one,True,0.3,-0.4816033517597742,0.3,-inf
4,5,47426.94550007582,2486.018799711019,True,15,have,na,False,0.3,-inf,0.3,-inf

,trial,start_time,rt,correct,fact_id,question,answer,flipped,alpha,activation,flip_alpha,flip_activation
0,1,25183.723499998454,3367.213800083846,True,2,I,mimi,False,0.3,-inf,0.3,-inf
1,2,31616.264400072403,3580.2229996770616,True,2,mimi,I,True,0.3,-0.5584108870504848,0.3,9.766260287910034
2,3,37115.35839969292,2281.577800400555,True,14,one,moja,False,0.3,-inf,0.3,-inf
3,4,42094.933199696236,1706.2572999857364,True,14,moja,one,True,0.3,-0.4816033517597742,0.3,-inf
4,5,47426.94550007582,2486.018799711019,True,15,have,na,False,0.3,-inf,0.3,-inf
5,6,52108.65509975701,2962.871400173753,True,19,hot,moto,False,0.3,-inf,0.3,-inf

,trial,start_time,rt,correct,fact_id,question,answer,flipped,alpha,activation,flip_alpha,flip_activation
0,1,25183.723499998454,3367.213800083846,True,2,I,mimi,False,0.3,-inf,0.3,-inf
1,2,31616.264400072403,3580.2229996770616,True,2,mimi,I,True,0.3,-0.5584108870504848,0.3,9.766260287910034
2,3,37115.35839969292,2281.577800400555,True,14,one,moja,False,0.3,-inf,0.3,-inf
3,4,42094.933199696236,1706.2572999857364,True,14,moja,one,True,0.3,-0.4816033517597742,0.3,-inf
4,5,47426.94550007582,2486.018799711019,True,15,have,na,False,0.3,-inf,0.3,-inf
5,6,52108.65509975701,2962.871400173753,True,19,hot,moto,False,0.3,-inf,0.3,-inf
6,7,57635.215499904014,3143.6860999092464,True,15,na,have,True,0.3,-0.6969594528237217,0.3,9.766260287910034

,trial,start_time,rt,correct,fact_id,question,answer,flipped,alpha,activation,flip_alpha,flip_activation
0,1,25183.723499998454,3367.213800083846,True,2,I,mimi,False,0.3,-inf,0.3,-inf
1,2,31616.264400072403,3580.2229996770616,True,2,mimi,I,True,0.3,-0.5584108870504848,0.3,9.766260287910034
2,3,37115.35839969292,2281.577800400555,True,14,one,moja,False,0.3,-inf,0.3,-inf
3,4,42094.933199696236,1706.2572999857364,True,14,moja,one,True,0.3,-0.4816033517597742,0.3,-inf
4,5,47426.94550007582,2486.018799711019,True,15,have,na,False,0.3,-inf,0.3,-inf
5,6,52108.65509975701,2962.871400173753,True,19,hot,moto,False,0.3,-inf,0.3,-inf
6,7,57635.215499904014,3143.6860999092464,True,15,na,have,True,0.3,-0.6969594528237217,0.3,9.766260287910034
7,8,63115.063299890615,4553.982300218196,False,19,moto,hot,True,0.3,-0.7195433000467654,0.3,9.766260287910034

,trial,start_time,rt,correct,fact_id,question,answer,flipped,alpha,activation,flip_alpha,flip_activation
0,1,25183.723499998454,3367.213800083846,True,2,I,mimi,False,0.3,-inf,0.3,-inf
1,2,31616.264400072403,3580.2229996770616,True,2,mimi,I,True,0.3,-0.5584108870504848,0.3,9.766260287910034
2,3,37115.35839969292,2281.577800400555,True,14,one,moja,False,0.3,-inf,0.3,-inf
3,4,42094.933199696236,1706.2572999857364,True,14,moja,one,True,0.3,-0.4816033517597742,0.3,-inf
4,5,47426.94550007582,2486.018799711019,True,15,have,na,False,0.3,-inf,0.3,-inf
5,6,52108.65509975701,2962.871400173753,True,19,hot,moto,False,0.3,-inf,0.3,-inf
6,7,57635.215499904014,3143.6860999092464,True,15,na,have,True,0.3,-0.6969594528237217,0.3,9.766260287910034
7,8,63115.063299890615,4553.982300218196,False,19,moto,hot,True,0.3,-0.7195433000467654,0.3,9.766260287910034
8,9,69706.16899989545,2871.999400202185,True,20,word,neno,False,0.3,-inf,0.3,-inf

,trial,start_time,rt,correct,fact_id,question,answer,flipped,alpha,activation,flip_alpha,flip_activation
0,1,25183.723499998454,3367.213800083846,True,2,I,mimi,False,0.3,-inf,0.3,-inf
1,2,31616.264400072403,3580.2229996770616,True,2,mimi,I,True,0.3,-0.5584108870504848,0.3,9.766260287910034
2,3,37115.35839969292,2281.577800400555,True,14,one,moja,False,0.3,-inf,0.3,-inf
3,4,42094.933199696236,1706.2572999857364,True,14,moja,one,True,0.3,-0.4816033517597742,0.3,-inf
4,5,47426.94550007582,2486.018799711019,True,15,have,na,False,0.3,-inf,0.3,-inf
5,6,52108.65509975701,2962.871400173753,True,19,hot,moto,False,0.3,-inf,0.3,-inf
6,7,57635.215499904014,3143.6860999092464,True,15,na,have,True,0.3,-0.6969594528237217,0.3,9.766260287910034
7,8,63115.063299890615,4553.982300218196,False,19,moto,hot,True,0.3,-0.7195433000467654,0.3,9.766260287910034
8,9,69706.16899989545,2871.999400202185,True,20,word,neno,False,0.3,-inf,0.3,-inf
9,10,75721.31059970707,1804.1628999635575,True,2,mimi,I,True,0.250390625,-0.7030207073855528,0.3,-1.1359722606606546

,trial,start_time,rt,correct,fact_id,question,answer,flipped,alpha,activation,flip_alpha,flip_activation
0,1,25183.723499998454,3367.213800083846,True,2,I,mimi,False,0.3,-inf,0.3,-inf
1,2,31616.264400072403,3580.2229996770616,True,2,mimi,I,True,0.3,-0.5584108870504848,0.3,9.766260287910034
2,3,37115.35839969292,2281.577800400555,True,14,one,moja,False,0.3,-inf,0.3,-inf
3,4,42094.933199696236,1706.2572999857364,True,14,moja,one,True,0.3,-0.4816033517597742,0.3,-inf
4,5,47426.94550007582,2486.018799711019,True,15,have,na,False,0.3,-inf,0.3,-inf
5,6,52108.65509975701,2962.871400173753,True,19,hot,moto,False,0.3,-inf,0.3,-inf
6,7,57635.215499904014,3143.6860999092464,True,15,na,have,True,0.3,-0.6969594528237217,0.3,9.766260287910034
7,8,63115.063299890615,4553.982300218196,False,19,moto,hot,True,0.3,-0.7195433000467654,0.3,9.766260287910034
8,9,69706.16899989545,2871.999400202185,True,20,word,neno,False,0.3,-inf,0.3,-inf
9,10,75721.31059970707,1804.1628999635575,True,2,mimi,I,True,0.250390625,-0.7030207073855528,0.3,-1.1359722606606546
10,11,78950.83659980446,3950.087000150234,True,20,neno,word,True,0.3,-0.6672140728838479,0.3,-inf

,trial,start_time,rt,correct,fact_id,question,answer,flipped,alpha,activation,flip_alpha,flip_activation
0,1,25183.723499998454,3367.213800083846,True,2,I,mimi,False,0.3,-inf,0.3,-inf
1,2,31616.264400072403,3580.2229996770616,True,2,mimi,I,True,0.3,-0.5584108870504848,0.3,9.766260287910034
2,3,37115.35839969292,2281.577800400555,True,14,one,moja,False,0.3,-inf,0.3,-inf
3,4,42094.933199696236,1706.2572999857364,True,14,moja,one,True,0.3,-0.4816033517597742,0.3,-inf
4,5,47426.94550007582,2486.018799711019,True,15,have,na,False,0.3,-inf,0.3,-inf
5,6,52108.65509975701,2962.871400173753,True,19,hot,moto,False,0.3,-inf,0.3,-inf
6,7,57635.215499904014,3143.6860999092464,True,15,na,have,True,0.3,-0.6969594528237217,0.3,9.766260287910034
7,8,63115.063299890615,4553.982300218196,False,19,moto,hot,True,0.3,-0.7195433000467654,0.3,9.766260287910034
8,9,69706.16899989545,2871.999400202185,True,20,word,neno,False,0.3,-inf,0.3,-inf
9,10,75721.31059970707,1804.1628999635575,True,2,mimi,I,True,0.250390625,-0.7030207073855528,0.3,-1.1359722606606546
10,11,78950.83659980446,3950.087000150234,True,20,neno,word,True,0.3,-0.6672140728838479,0.3,-inf
11,12,84997.2731997259,2102.8864001855254,False,14,moja,one,True,0.349609375,-0.7042557305669355,0.3,-1.1276779109704975

,trial,start_time,rt,correct,fact_id,question,answer,flipped,alpha,activation,flip_alpha,flip_activation
0,1,25183.723499998454,3367.213800083846,True,2,I,mimi,False,0.3,-inf,0.3,-inf
1,2,31616.264400072403,3580.2229996770616,True,2,mimi,I,True,0.3,-0.5584108870504848,0.3,9.766260287910034
2,3,37115.35839969292,2281.577800400555,True,14,one,moja,False,0.3,-inf,0.3,-inf
3,4,42094.933199696236,1706.2572999857364,True,14,moja,one,True,0.3,-0.4816033517597742,0.3,-inf
4,5,47426.94550007582,2486.018799711019,True,15,have,na,False,0.3,-inf,0.3,-inf
5,6,52108.65509975701,2962.871400173753,True,19,hot,moto,False,0.3,-inf,0.3,-inf
6,7,57635.215499904014,3143.6860999092464,True,15,na,have,True,0.3,-0.6969594528237217,0.3,9.766260287910034
7,8,63115.063299890615,4553.982300218196,False,19,moto,hot,True,0.3,-0.7195433000467654,0.3,9.766260287910034
8,9,69706.16899989545,2871.999400202185,True,20,word,neno,False,0.3,-inf,0.3,-inf
9,10,75721.31059970707,1804.1628999635575,True,2,mimi,I,True,0.250390625,-0.7030207073855528,0.3,-1.1359722606606546
10,11,78950.83659980446,3950.087000150234,True,20,neno,word,True,0.3,-0.6672140728838479,0.3,-inf
11,12,84997.2731997259,2102.8864001855254,False,14,moja,one,True,0.349609375,-0.7042557305669355,0.3,-1.1276779109704975
12,13,89015.3700998053,1660.968900192529,True,22,what,nini,False,0.3,-inf,0.3,-inf

,trial,start_time,rt,correct,fact_id,question,answer,flipped,alpha,activation,flip_alpha,flip_activation
0,1,25183.723499998454,3367.213800083846,True,2,I,mimi,False,0.3,-inf,0.3,-inf
1,2,31616.264400072403,3580.2229996770616,True,2,mimi,I,True,0.3,-0.5584108870504848,0.3,9.766260287910034
2,3,37115.35839969292,2281.577800400555,True,14,one,moja,False,0.3,-inf,0.3,-inf
3,4,42094.933199696236,1706.2572999857364,True,14,moja,one,True,0.3,-0.4816033517597742,0.3,-inf
4,5,47426.94550007582,2486.018799711019,True,15,have,na,False,0.3,-inf,0.3,-inf
5,6,52108.65509975701,2962.871400173753,True,19,hot,moto,False,0.3,-inf,0.3,-inf
6,7,57635.215499904014,3143.6860999092464,True,15,na,have,True,0.3,-0.6969594528237217,0.3,9.766260287910034
7,8,63115.063299890615,4553.982300218196,False,19,moto,hot,True,0.3,-0.7195433000467654,0.3,9.766260287910034
8,9,69706.16899989545,2871.999400202185,True,20,word,neno,False,0.3,-inf,0.3,-inf
9,10,75721.31059970707,1804.1628999635575,True,2,mimi,I,True,0.250390625,-0.7030207073855528,0.3,-1.1359722606606546
10,11,78950.83659980446,3950.087000150234,True,20,neno,word,True,0.3,-0.6672140728838479,0.3,-inf
11,12,84997.2731997259,2102.8864001855254,False,14,moja,one,True,0.349609375,-0.7042557305669355,0.3,-1.1276779109704975
12,13,89015.3700998053,1660.968900192529,True,22,what,nini,False,0.3,-inf,0.3,-inf
13,14,93953.19989975543,3517.5491999834776,True,26,you,ninyi,False,0.3,-inf,0.3,9.55831613374205

,trial,start_time,rt,correct,fact_id,question,answer,flipped,alpha,activation,flip_alpha,flip_activation
0,1,25183.723499998454,3367.213800083846,True,2,I,mimi,False,0.3,-inf,0.3,-inf
1,2,31616.264400072403,3580.2229996770616,True,2,mimi,I,True,0.3,-0.5584108870504848,0.3,9.766260287910034
2,3,37115.35839969292,2281.577800400555,True,14,one,moja,False,0.3,-inf,0.3,-inf
3,4,42094.933199696236,1706.2572999857364,True,14,moja,one,True,0.3,-0.4816033517597742,0.3,-inf
4,5,47426.94550007582,2486.018799711019,True,15,have,na,False,0.3,-inf,0.3,-inf
5,6,52108.65509975701,2962.871400173753,True,19,hot,moto,False,0.3,-inf,0.3,-inf
6,7,57635.215499904014,3143.6860999092464,True,15,na,have,True,0.3,-0.6969594528237217,0.3,9.766260287910034
7,8,63115.063299890615,4553.982300218196,False,19,moto,hot,True,0.3,-0.7195433000467654,0.3,9.766260287910034
8,9,69706.16899989545,2871.999400202185,True,20,word,neno,False,0.3,-inf,0.3,-inf
9,10,75721.31059970707,1804.1628999635575,True,2,mimi,I,True,0.250390625,-0.7030207073855528,0.3,-1.1359722606606546
10,11,78950.83659980446,3950.087000150234,True,20,neno,word,True,0.3,-0.6672140728838479,0.3,-inf
11,12,84997.2731997259,2102.8864001855254,False,14,moja,one,True,0.349609375,-0.7042557305669355,0.3,-1.1276779109704975
12,13,89015.3700998053,1660.968900192529,True,22,what,nini,False,0.3,-inf,0.3,-inf
13,14,93953.19989975543,3517.5491999834776,True,26,you,ninyi,False,0.3,-inf,0.3,9.55831613374205
14,15,101696.38289976864,3222.8659000247717,False,22,what,nini,False,0.3,-0.7620317458900443,0.3,-0.7620317458900441

,trial,start_time,rt,correct,fact_id,question,answer,flipped,alpha,activation,flip_alpha,flip_activation
0,1,25183.723499998454,3367.213800083846,True,2,I,mimi,False,0.3,-inf,0.3,-inf
1,2,31616.264400072403,3580.2229996770616,True,2,mimi,I,True,0.3,-0.5584108870504848,0.3,9.766260287910034
2,3,37115.35839969292,2281.577800400555,True,14,one,moja,False,0.3,-inf,0.3,-inf
3,4,42094.933199696236,1706.2572999857364,True,14,moja,one,True,0.3,-0.4816033517597742,0.3,-inf
4,5,47426.94550007582,2486.018799711019,True,15,have,na,False,0.3,-inf,0.3,-inf
5,6,52108.65509975701,2962.871400173753,True,19,hot,moto,False,0.3,-inf,0.3,-inf
6,7,57635.215499904014,3143.6860999092464,True,15,na,have,True,0.3,-0.6969594528237217,0.3,9.766260287910034
7,8,63115.063299890615,4553.982300218196,False,19,moto,hot,True,0.3,-0.7195433000467654,0.3,9.766260287910034
8,9,69706.16899989545,2871.999400202185,True,20,word,neno,False,0.3,-inf,0.3,-inf
9,10,75721.31059970707,1804.1628999635575,True,2,mimi,I,True,0.250390625,-0.7030207073855528,0.3,-1.1359722606606546
10,11,78950.83659980446,3950.087000150234,True,20,neno,word,True,0.3,-0.6672140728838479,0.3,-inf
11,12,84997.2731997259,2102.8864001855254,False,14,moja,one,True,0.349609375,-0.7042557305669355,0.3,-1.1276779109704975
12,13,89015.3700998053,1660.968900192529,True,22,what,nini,False,0.3,-inf,0.3,-inf
13,14,93953.19989975543,3517.5491999834776,True,26,you,ninyi,False,0.3,-inf,0.3,9.55831613374205
14,15,101696.38289976864,3222.8659000247717,False,22,what,nini,False,0.3,-0.7620317458900443,0.3,-0.7620317458900441
15,16,106494.3784000352,2032.6962997205553,False,26,you,ninyi,False,0.3,-0.758705253023297,0.3,-0.758705253023297

,trial,start_time,rt,correct,fact_id,question,answer,flipped,alpha,activation,flip_alpha,flip_activation
0,1,25183.723499998454,3367.213800083846,True,2,I,mimi,False,0.3,-inf,0.3,-inf
1,2,31616.264400072403,3580.2229996770616,True,2,mimi,I,True,0.3,-0.5584108870504848,0.3,9.766260287910034
2,3,37115.35839969292,2281.577800400555,True,14,one,moja,False,0.3,-inf,0.3,-inf
3,4,42094.933199696236,1706.2572999857364,True,14,moja,one,True,0.3,-0.4816033517597742,0.3,-inf
4,5,47426.94550007582,2486.018799711019,True,15,have,na,False,0.3,-inf,0.3,-inf
5,6,52108.65509975701,2962.871400173753,True,19,hot,moto,False,0.3,-inf,0.3,-inf
6,7,57635.215499904014,3143.6860999092464,True,15,na,have,True,0.3,-0.6969594528237217,0.3,9.766260287910034
7,8,63115.063299890615,4553.982300218196,False,19,moto,hot,True,0.3,-0.7195433000467654,0.3,9.766260287910034
8,9,69706.16899989545,2871.999400202185,True,20,word,neno,False,0.3,-inf,0.3,-inf
9,10,75721.31059970707,1804.1628999635575,True,2,mimi,I,True,0.250390625,-0.7030207073855528,0.3,-1.1359722606606546
10,11,78950.83659980446,3950.087000150234,True,20,neno,word,True,0.3,-0.6672140728838479,0.3,-inf
11,12,84997.2731997259,2102.8864001855254,False,14,moja,one,True,0.349609375,-0.7042557305669355,0.3,-1.1276779109704975
12,13,89015.3700998053,1660.968900192529,True,22,what,nini,False,0.3,-inf,0.3,-inf
13,14,93953.19989975543,3517.5491999834776,True,26,you,ninyi,False,0.3,-inf,0.3,9.55831613374205
14,15,101696.38289976864,3222.8659000247717,False,22,what,nini,False,0.3,-0.7620317458900443,0.3,-0.7620317458900441
15,16,106494.3784000352,2032.6962997205553,False,26,you,ninyi,False,0.3,-0.758705253023297,0.3,-0.758705253023297
16,17,110021.97390003131,2327.527799643576,False,15,na,have,True,0.349609375,-0.7436708024368409,0.3,11.987352549972632

,trial,start_time,rt,correct,fact_id,question,answer,flipped,alpha,activation,flip_alpha,flip_activation
0,1,25183.723499998454,3367.213800083846,True,2,I,mimi,False,0.3,-inf,0.3,-inf
1,2,31616.264400072403,3580.2229996770616,True,2,mimi,I,True,0.3,-0.5584108870504848,0.3,9.766260287910034
2,3,37115.35839969292,2281.577800400555,True,14,one,moja,False,0.3,-inf,0.3,-inf
3,4,42094.933199696236,1706.2572999857364,True,14,moja,one,True,0.3,-0.4816033517597742,0.3,-inf
4,5,47426.94550007582,2486.018799711019,True,15,have,na,False,0.3,-inf,0.3,-inf
5,6,52108.65509975701,2962.871400173753,True,19,hot,moto,False,0.3,-inf,0.3,-inf
6,7,57635.215499904014,3143.6860999092464,True,15,na,have,True,0.3,-0.6969594528237217,0.3,9.766260287910034
7,8,63115.063299890615,4553.982300218196,False,19,moto,hot,True,0.3,-0.7195433000467654,0.3,9.766260287910034
8,9,69706.16899989545,2871.999400202185,True,20,word,neno,False,0.3,-inf,0.3,-inf
9,10,75721.31059970707,1804.1628999635575,True,2,mimi,I,True,0.250390625,-0.7030207073855528,0.3,-1.1359722606606546
10,11,78950.83659980446,3950.087000150234,True,20,neno,word,True,0.3,-0.6672140728838479,0.3,-inf
11,12,84997.2731997259,2102.8864001855254,False,14,moja,one,True,0.349609375,-0.7042557305669355,0.3,-1.1276779109704975
12,13,89015.3700998053,1660.968900192529,True,22,what,nini,False,0.3,-inf,0.3,-inf
13,14,93953.19989975543,3517.5491999834776,True,26,you,ninyi,False,0.3,-inf,0.3,9.55831613374205
14,15,101696.38289976864,3222.8659000247717,False,22,what,nini,False,0.3,-0.7620317458900443,0.3,-0.7620317458900441
15,16,106494.3784000352,2032.6962997205553,False,26,you,ninyi,False,0.3,-0.758705253023297,0.3,-0.758705253023297
16,17,110021.97390003131,2327.527799643576,False,15,na,have,True,0.349609375,-0.7436708024368409,0.3,11.987352549972632
17,18,113707.95940002428,1686.9685999117792,False,19,moto,hot,True,0.349609375,-0.7306215838558385,0.3,12.01287590930523

,trial,start_time,rt,correct,fact_id,question,answer,flipped,alpha,activation,flip_alpha,flip_activation
0,1,25183.723499998454,3367.213800083846,True,2,I,mimi,False,0.3,-inf,0.3,-inf
1,2,31616.264400072403,3580.2229996770616,True,2,mimi,I,True,0.3,-0.5584108870504848,0.3,9.766260287910034
2,3,37115.35839969292,2281.577800400555,True,14,one,moja,False,0.3,-inf,0.3,-inf
3,4,42094.933199696236,1706.2572999857364,True,14,moja,one,True,0.3,-0.4816033517597742,0.3,-inf
4,5,47426.94550007582,2486.018799711019,True,15,have,na,False,0.3,-inf,0.3,-inf
5,6,52108.65509975701,2962.871400173753,True,19,hot,moto,False,0.3,-inf,0.3,-inf
6,7,57635.215499904014,3143.6860999092464,True,15,na,have,True,0.3,-0.6969594528237217,0.3,9.766260287910034
7,8,63115.063299890615,4553.982300218196,False,19,moto,hot,True,0.3,-0.7195433000467654,0.3,9.766260287910034
8,9,69706.16899989545,2871.999400202185,True,20,word,neno,False,0.3,-inf,0.3,-inf
9,10,75721.31059970707,1804.1628999635575,True,2,mimi,I,True,0.250390625,-0.7030207073855528,0.3,-1.1359722606606546
10,11,78950.83659980446,3950.087000150234,True,20,neno,word,True,0.3,-0.6672140728838479,0.3,-inf
11,12,84997.2731997259,2102.8864001855254,False,14,moja,one,True,0.349609375,-0.7042557305669355,0.3,-1.1276779109704975
12,13,89015.3700998053,1660.968900192529,True,22,what,nini,False,0.3,-inf,0.3,-inf
13,14,93953.19989975543,3517.5491999834776,True,26,you,ninyi,False,0.3,-inf,0.3,9.55831613374205
14,15,101696.38289976864,3222.8659000247717,False,22,what,nini,False,0.3,-0.7620317458900443,0.3,-0.7620317458900441
15,16,106494.3784000352,2032.6962997205553,False,26,you,ninyi,False,0.3,-0.758705253023297,0.3,-0.758705253023297
16,17,110021.97390003131,2327.527799643576,False,15,na,have,True,0.349609375,-0.7436708024368409,0.3,11.987352549972632
17,18,113707.95940002428,1686.9685999117792,False,19,moto,hot,True,0.349609375,-0.7306215838558385,0.3,12.01287590930523
18,19,117583.37219990788,2470.615699887276,True,43,time,wakati,False,0.3,-inf,0.3,-inf
